"Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"Red Sox","1815","6382","178","853","819","123","9.1 %","20.5 %",".169",".329",".277",".349",".446",".347","114","13.3","116.7","14.9","36.6"
"Rays","1942","6242","165","700","670","73","9.4 %","18.8 %",".151",".295",".257",".329",".408",".324","107","2.5","50.1","10.5","28.4"
"Tigers","1858","6388","176","796","767","35","8.3 %","16.8 %",".151",".320",".283",".346",".434",".341","114","-19.0","83.7","-33.5","27.8"
"Giants","2062","6168","107","629","596","67","7.6 %","17.5 %",".121",".304",".260",".320",".381",".309","100","-4.1","-1.7","68.5","27.1"
"Braves","2052","6133","181","688","656","64","8.8 %","22.6 %",".153",".300",".249",".321",".402",".318","102","-5.7","3.8","54.6","26.1"
"Cardinals","2202","6202","125","783","745","45","7.8 %","17.9 %",".133",".314",".269",".332",".401",".322","104","-9.1","21.0","34.9","26.1"
"Orioles","1893","6144","212","745","719","79","6.8 %","18.3 %",".171",".288",".260",".313",".431",".323","101","13.8","16.4","20.4","25.5"
"Athletics","1923","6209","186","767","725","74","9.2 %","19.0 %",".165",".289",".254",".327",".419",".327","108","10.0","66.2","-32.1","25.4"
"Dodgers","2285","6145","138","649","618","78","7.7 %","18.6 %",".133",".308",".264",".326",".396",".317","103","-8.0","14.7","29.6","24.6"
"Reds","2048","6293","155","698","664","67","9.3 %","19.8 %",".142",".293",".249",".327",".391",".316","96","-2.0","-32.9","58.5","23.1"
"Indians","1793","6165","171","745","711","117","9.1 %","20.8 %",".155",".300",".255",".327",".410",".324","104","11.5","39.3","-26.0","23.0"
"Pirates","2216","6135","161","634","603","94","7.6 %","21.7 %",".151",".294",".245",".313",".396",".312","99","1.8","-3.4","32.6","23.0"
"Brewers","2032","6064","157","640","610","142","6.7 %","19.5 %",".145",".294",".252",".311",".398",".311","91","-6.9","-66.0","91.1","22.3"
"Angels","1775","6260","164","733","696","82","8.4 %","19.5 %",".150",".307",".264",".329",".414",".325","109","-9.7","54.8","-56.7","21.7"
"Rangers","1828","6196","176","730","691","149","7.5 %","17.2 %",".150",".294",".262",".323",".412",".323","97","2.0","-22.5","1.4","19.4"
"Royals","1833","6093","112","648","620","153","6.9 %","17.2 %",".119",".300",".260",".315",".379",".305","89","18.2","-57.4","38.7","19.3"
"Diamondbacks","2003","6334","130","685","647","62","8.2 %","18.0 %",".133",".301",".259",".323",".391",".314","93","-18.5","-69.4","58.9","19.3"
"Padres","2062","6122","146","618","578","118","7.6 %","21.4 %",".133",".294",".245",".308",".378",".302","94","8.8","-35.4","30.1","19.2"
"Nationals","1886","6047","161","656","621","88","7.7 %","19.7 %",".146",".292",".251",".313",".398",".311","94","3.1","-34.7","19.0","17.8"
"Blue Jays","1877","6152","185","712","669","112","8.3 %","18.3 %",".158",".284",".252",".318",".411",".320","99","3.8","-2.8","-39.1","17.0"
"Mets","1999","6207","130","619","593","114","8.2 %","22.3 %",".129",".291",".237",".306",".366",".297","90","23.0","-49.2","14.2","16.3"
"Yankees","1833","6044","144","650","614","115","7.7 %","20.1 %",".133",".285",".242",".307",".376",".301","86","4.4","-89.2","31.7","15.0"
"Cubs","1846","6079","172","602","576","63","7.2 %","20.2 %",".154",".275",".238",".300",".392",".304","90","-11.9","-78.3","29.1","14.3"
"Rockies","2282","6152","159","706","673","112","6.9 %","19.6 %",".149",".317",".270",".323",".418",".324","87","17.4","-72.7","8.0","12.9"
"Twins","1883","6212","151","614","590","52","8.6 %","23.0 %",".138",".298",".242",".312",".380",".307","91","1.2","-66.1","-39.0","10.4"
"Mariners","1770","6172","188","624","597","49","8.6 %","21.9 %",".152",".279",".237",".306",".390",".307","95","-6.9","-41.1","-68.9","9.8"
"Phillies","1960","6014","140","610","578","73","6.9 %","20.0 %",".135",".293",".248",".306",".384",".303","89","-7.4","-81.9","-12.9","9.2"
"White Sox","1785","6077","148","598","574","105","6.8 %","19.9 %",".129",".291",".249",".302",".378",".299","85","-12.7","-117.5","-37.3","4.6"
"Marlins","1885","6021","95","513","485","78","7.2 %","20.5 %",".104",".280",".231",".293",".335",".279","74","-5.2","-178.9","25.5","2.9"
"Astros","1946","6020","148","610","566","110","7.1 %","25.5 %",".136",".304",".240",".299",".375",".298","85","-8.9","-112.7","-63.7","2.1"
