"Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR"
"Indians","76","42","0","162","162","993.2","9.66","2.21","1.10",".297","76.9 %","41.8 %","12.2 %","3.39","3.44","3.51","22.2"
"Astros","72","36","0","162","162","955.1","10.37","2.81","0.94",".284","77.4 %","44.9 %","11.9 %","3.16","3.28","3.37","21.7"
"Mets","50","49","0","162","162","914.1","9.17","2.57","1.01",".291","75.1 %","45.2 %","12.2 %","3.54","3.58","3.65","18.1"
"Yankees","65","42","0","162","162","861.2","9.20","2.79","1.15",".302","73.4 %","44.0 %","13.3 %","4.05","3.84","3.77","16.2"
"Dodgers","57","38","0","163","163","894.2","9.46","2.24","1.05",".283","76.9 %","45.9 %","13.2 %","3.19","3.42","3.36","16.0"
"Phillies","54","56","0","162","162","876.1","9.08","2.88","1.07",".302","70.5 %","45.4 %","12.6 %","4.12","3.76","3.77","15.1"
"Nationals","55","53","0","162","162","917.1","9.01","2.91","1.15",".293","73.4 %","41.5 %","12.4 %","4.03","3.94","3.99","14.8"
"Cardinals","59","46","0","162","162","889.2","8.24","3.24","0.85",".284","74.4 %","45.2 %","10.3 %","3.52","3.78","4.07","14.5"
"Rockies","59","43","0","163","163","932.0","8.53","2.97","1.19",".297","73.8 %","44.9 %","13.9 %","4.17","4.07","3.92","14.3"
"Red Sox","68","38","0","162","162","871.1","9.61","2.76","1.16",".294","74.9 %","42.1 %","12.4 %","3.77","3.80","3.83","14.2"
"Diamondbacks","59","45","0","162","162","921.2","9.31","3.00","1.11",".295","75.1 %","45.4 %","14.3 %","3.83","3.82","3.64","12.8"
"Braves","60","46","0","162","162","899.2","8.67","3.62","1.01",".265","75.6 %","43.2 %","11.5 %","3.50","3.99","4.14","11.9"
"Mariners","54","49","0","162","162","891.1","7.80","2.28","1.28",".294","70.6 %","43.2 %","13.5 %","4.35","4.14","4.04","11.4"
"Rays","35","36","0","162","162","624.0","9.62","3.09","1.10",".279","74.9 %","42.9 %","12.8 %","3.68","3.73","3.71","11.4"
"Pirates","58","56","0","161","161","887.1","7.63","2.65","1.19",".290","74.0 %","43.4 %","12.7 %","3.99","4.18","4.19","10.8"
"Cubs","59","50","0","163","163","888.0","7.79","3.54","1.07",".289","76.1 %","44.8 %","12.8 %","3.84","4.30","4.28","9.9"
"Twins","43","54","0","162","162","833.0","8.21","3.79","1.18",".296","72.1 %","41.2 %","12.2 %","4.54","4.48","4.54","9.6"
"Brewers","54","46","0","163","163","847.0","7.65","3.29","1.13",".266","73.0 %","40.7 %","11.8 %","3.92","4.32","4.44","8.9"
"Angels","46","57","0","162","162","805.1","8.75","3.21","1.37",".294","73.0 %","41.0 %","14.8 %","4.34","4.39","4.11","8.7"
"Athletics","52","48","0","162","162","824.1","6.66","2.62","1.19",".273","70.8 %","45.6 %","13.0 %","4.17","4.39","4.36","8.2"
"Royals","38","68","0","162","162","889.1","7.25","3.03","1.30",".306","70.4 %","40.1 %","12.2 %","4.89","4.55","4.63","7.9"
"Giants","42","59","0","162","162","890.2","7.11","3.12","1.03",".290","72.8 %","43.8 %","11.4 %","4.06","4.21","4.37","7.7"
"Tigers","36","67","0","162","162","845.2","7.50","2.87","1.53",".285","70.2 %","38.6 %","14.0 %","4.65","4.79","4.58","7.0"
"Blue Jays","39","67","0","162","162","839.1","7.50","3.53","1.32",".301","67.6 %","43.9 %","12.8 %","5.14","4.68","4.66","6.2"
"Rangers","43","68","0","162","162","846.0","6.28","2.95","1.57",".300","68.0 %","41.9 %","14.8 %","5.37","5.18","4.86","5.9"
"Reds","41","68","0","162","162","838.2","7.77","3.07","1.62",".303","70.5 %","43.9 %","17.3 %","5.02","4.88","4.26","5.7"
"Marlins","36","65","0","161","161","835.2","7.67","3.51","1.25",".276","73.3 %","39.1 %","12.2 %","4.34","4.57","4.64","5.2"
"White Sox","39","70","0","162","162","891.2","6.85","4.04","1.38",".272","68.4 %","40.1 %","12.3 %","5.07","5.18","5.24","4.0"
"Orioles","28","84","0","162","162","833.2","7.17","3.26","1.72",".309","68.7 %","40.7 %","15.4 %","5.48","5.26","4.83","4.0"
"Padres","38","66","0","162","162","822.0","7.43","3.42","1.34",".310","69.9 %","45.8 %","16.1 %","5.09","4.71","4.31","3.8"
