Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,playerid
Cody Bellinger,Dodgers,11,51,7,18,19,1,9.80%,11.80%,0.543,0.394,0.435,0.49,0.978,0.595,266,-0.3,11,-0.6,1.2,15998
Mike Trout,Angels,11,47,5,7,12,1,27.70%,8.50%,0.567,0.273,0.367,0.574,0.933,0.57,290,0.2,10.4,0,1.2,10155
Tim Beckham,Mariners,11,47,4,13,11,0,14.90%,17.00%,0.425,0.429,0.4,0.489,0.825,0.539,270,-0.5,8.7,0.5,1.1,7949
Christian Yelich,Brewers,11,51,5,11,13,2,19.60%,11.80%,0.475,0.333,0.375,0.49,0.85,0.529,220,0.4,8.5,-0.5,1,11477
Daniel Vogelbach,Mariners,7,24,5,7,9,0,25.00%,20.80%,1,0.429,0.471,0.625,1.471,0.764,432,0,9.1,-0.6,0.9,14130
Anthony Rendon,Nationals,9,40,4,12,9,0,12.50%,17.50%,0.5,0.435,0.412,0.5,0.912,0.572,246,0,7.8,0.1,0.9,12861
Domingo Santana,Mariners,12,59,4,11,19,3,13.60%,23.70%,0.3,0.406,0.34,0.431,0.64,0.451,207,0.6,7.8,-0.6,0.9,10348
Rhys Hoskins,Phillies,9,39,5,10,15,0,20.50%,20.50%,0.567,0.353,0.367,0.513,0.933,0.574,249,0,7.7,-0.7,0.8,16472
Tim Anderson,White Sox,7,30,2,7,5,2,3.30%,13.30%,0.276,0.565,0.517,0.533,0.793,0.564,284,0.4,6.7,0.3,0.8,15172
Trey Mancini,Orioles,10,44,5,11,11,0,9.10%,18.20%,0.436,0.37,0.385,0.432,0.821,0.509,242,0,7.2,-0.6,0.8,15149
Enrique Hernandez,Dodgers,10,42,3,10,8,0,19.00%,11.90%,0.364,0.346,0.364,0.476,0.727,0.491,202,0,5.7,0.1,0.7,10472
Kolten Wong,Cardinals,10,38,3,8,8,2,10.50%,18.40%,0.394,0.417,0.394,0.447,0.788,0.502,206,0.4,5.8,0.2,0.7,12532
Bryce Harper,Phillies,9,40,3,6,5,1,27.50%,27.50%,0.414,0.467,0.345,0.525,0.759,0.51,210,0.2,6,-0.4,0.7,11579
Peter Alonso,Mets,9,37,3,6,11,0,8.10%,32.40%,0.441,0.526,0.382,0.432,0.824,0.517,219,0,5.9,-0.5,0.7,19251
Austin Barnes,Dodgers,7,26,2,7,5,0,23.10%,7.70%,0.368,0.375,0.421,0.538,0.789,0.533,227,0,4.4,1.2,0.6,12158
Edwin Encarnacion,Mariners,9,43,4,10,9,0,16.30%,16.30%,0.353,0.304,0.324,0.465,0.676,0.478,226,-0.5,5.7,-0.9,0.6,2151
Gleyber Torres,Yankees,10,43,3,7,5,0,9.30%,14.00%,0.308,0.333,0.333,0.395,0.641,0.436,189,0,4.3,0.4,0.6,16997
Jonathan Villar,Orioles,10,45,3,9,8,2,2.20%,17.80%,0.295,0.364,0.341,0.356,0.636,0.416,176,0.4,4.3,0.2,0.6,10071
Jorge Polanco,Twins,8,35,1,4,1,0,5.70%,17.10%,0.313,0.44,0.375,0.429,0.688,0.466,210,0,4.4,0.3,0.6,13152
Dansby Swanson,Braves,10,39,3,7,12,0,15.40%,17.90%,0.4,0.318,0.333,0.436,0.733,0.46,177,0,4,0.4,0.6,18314
Joey Gallo,Rangers,9,38,4,9,11,0,26.30%,26.30%,0.464,0.214,0.25,0.447,0.714,0.474,210,0,4.7,-0.4,0.6,14128
Alex Bregman,Astros,11,45,1,5,3,1,13.30%,13.30%,0.135,0.387,0.351,0.444,0.486,0.405,172,0.2,3.9,0.2,0.6,17678
Marcus Semien,Athletics,14,58,1,8,3,1,12.10%,13.80%,0.118,0.357,0.314,0.397,0.431,0.366,142,0.2,3,0.6,0.6,12533
Yandy Diaz,Rays,10,44,3,8,4,1,11.40%,11.40%,0.308,0.29,0.308,0.386,0.615,0.421,183,0.2,4.3,-0.4,0.5,16578
David Peralta,Diamondbacks,10,46,1,8,4,0,0.00%,17.40%,0.239,0.486,0.413,0.413,0.652,0.452,172,0,4.4,-0.5,0.5,2136
Freddie Freeman,Braves,10,46,1,8,5,0,21.70%,13.00%,0.194,0.448,0.389,0.522,0.583,0.471,184,-0.5,4.7,-0.7,0.5,5361
Matt Chapman,Athletics,14,58,3,6,6,0,8.60%,8.60%,0.216,0.279,0.294,0.379,0.51,0.384,155,-0.5,3.2,0.2,0.5,16505
Adam Jones,Diamondbacks,10,46,4,6,6,0,2.20%,13.00%,0.364,0.353,0.364,0.378,0.727,0.462,178,-0.4,4.4,-0.5,0.5,6368
Freddy Galvis,Blue Jays,11,37,3,5,6,0,8.10%,21.60%,0.324,0.348,0.324,0.378,0.647,0.43,186,0,3.6,0.4,0.5,6609
Willson Contreras,Cubs,9,33,3,7,7,0,18.20%,24.20%,0.423,0.333,0.308,0.455,0.731,0.487,195,-0.4,3.8,0.5,0.5,11609
Ryon Healy,Mariners,12,53,3,10,11,0,7.50%,17.00%,0.333,0.27,0.271,0.321,0.604,0.381,156,0,3.4,0,0.5,15447
DJ LeMahieu,Yankees,9,36,0,8,3,0,8.30%,13.90%,0.125,0.481,0.406,0.472,0.531,0.437,190,0,3.7,0.1,0.5,9874
Aaron Judge,Yankees,10,47,3,6,7,1,19.10%,34.00%,0.263,0.421,0.289,0.426,0.553,0.413,173,-0.3,3.7,-0.4,0.5,15640
Gary Sanchez,Yankees,9,40,6,6,9,0,5.00%,17.50%,0.5,0.13,0.25,0.325,0.75,0.439,191,0,4.2,-0.8,0.5,11442
Kevin Kiermaier,Rays,10,34,2,8,6,2,8.80%,32.40%,0.367,0.389,0.3,0.353,0.667,0.414,177,0.4,3.4,0.1,0.5,11038
Yoan Moncada,White Sox,9,41,2,9,11,0,7.30%,22.00%,0.263,0.37,0.316,0.366,0.579,0.4,166,0,3.1,0.1,0.5,17232
Clint Frazier,Yankees,6,23,3,3,9,0,4.30%,17.40%,0.429,0.4,0.429,0.435,0.857,0.523,252,0,4,-0.3,0.4,15983
Tyler Flowers,Braves,4,14,1,2,1,0,7.10%,28.60%,0.273,0.667,0.455,0.571,0.727,0.549,232,0,2.5,1.5,0.4,9134
Alex Avila,Diamondbacks,6,21,2,5,5,0,28.60%,23.80%,0.467,0.375,0.333,0.524,0.8,0.526,217,0,3.3,0.4,0.4,7476
Willians Astudillo,Twins,5,17,1,6,4,0,5.90%,0.00%,0.429,0.429,0.5,0.529,0.929,0.577,290,0,3.7,0,0.4,15608
Michael Conforto,Mets,9,41,2,9,4,0,4.90%,31.70%,0.243,0.5,0.351,0.415,0.595,0.424,162,0,3.4,-0.4,0.4,16376
Jason Heyward,Cubs,9,38,3,9,8,2,15.80%,10.50%,0.29,0.28,0.323,0.421,0.613,0.424,156,0.4,3.2,-0.2,0.4,4940
Carlos Santana,Indians,9,35,1,7,8,0,11.40%,8.60%,0.161,0.444,0.419,0.486,0.581,0.446,193,0,3.7,-0.7,0.4,2396
Victor Caratini,Cubs,5,14,1,4,4,0,21.40%,21.40%,0.364,0.714,0.545,0.643,0.909,0.634,286,0,3.5,0.2,0.4,14968
Hunter Renfroe,Padres,9,29,3,4,6,0,10.30%,17.20%,0.462,0.278,0.308,0.379,0.769,0.47,187,0,3.4,-0.3,0.4,15464
J.D. Martinez,Red Sox,11,47,3,5,8,0,10.60%,10.60%,0.214,0.324,0.333,0.404,0.548,0.403,161,0,3.3,-0.9,0.4,6184
Maikel Franco,Phillies,9,38,3,5,10,0,23.70%,5.30%,0.379,0.208,0.276,0.447,0.655,0.414,151,0,2.6,0.1,0.4,12179
Jeff McNeil,Mets,8,27,0,5,4,0,7.40%,11.10%,0.182,0.474,0.409,0.519,0.591,0.479,195,-0.4,3,-0.1,0.4,15362
Lorenzo Cain,Brewers,11,48,1,9,2,3,10.40%,14.60%,0.167,0.371,0.333,0.396,0.5,0.384,130,0.1,2.1,0.2,0.4,9077
Alex Gordon,Royals,9,39,2,9,10,0,15.40%,10.30%,0.214,0.25,0.286,0.436,0.5,0.402,164,0,2.8,-0.4,0.4,5209
Whit Merrifield,Royals,9,40,1,10,4,3,5.00%,10.00%,0.184,0.364,0.342,0.375,0.526,0.385,152,0.2,2.6,-0.2,0.4,11281
Elvis Andrus,Rangers,10,42,1,5,5,2,2.40%,21.40%,0.098,0.452,0.366,0.381,0.463,0.367,133,0.4,1.9,0.3,0.4,8709
Robinson Chirinos,Astros,9,29,1,2,4,0,13.80%,20.70%,0.292,0.294,0.25,0.357,0.542,0.381,155,0,1.8,0.9,0.4,3142
Brian Goodwin,Angels,9,25,1,6,3,0,8.00%,24.00%,0.261,0.5,0.391,0.44,0.652,0.462,213,0,3.2,-0.4,0.4,12858
Trea Turner,Nationals,4,15,2,4,4,4,6.70%,33.30%,0.5,0.429,0.357,0.4,0.857,0.515,211,0.8,3,0.1,0.4,16252
Jay Bruce,Mariners,11,50,6,10,11,0,10.00%,32.00%,0.442,0.091,0.186,0.28,0.628,0.368,147,0,2.7,-0.7,0.4,9892
