Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,ERA,FIP,xFIP,WAR,playerid
Jacob deGrom,Mets,2,0,0,2,2,13,16.62,1.38,0,0.364,100.00%,22.70%,0.00%,0,-0.23,1.01,1,10954
Matthew Boyd,Tigers,0,1,0,2,2,11.1,18.26,3.18,0,0.476,64.30%,25.00%,0.00%,3.18,0.01,1.27,0.8,15440
Mike Clevinger,Indians,1,0,0,2,2,12,16.5,3,0,0.125,100.00%,43.80%,0.00%,0,0.34,1.08,0.8,12808
Carlos Rodon,White Sox,1,2,0,3,3,16,13.5,3.94,0,0.317,61.90%,45.00%,0.00%,3.38,1.51,3.29,0.7,16137
Max Scherzer,Nationals,1,2,0,3,3,19,13.26,1.89,0.95,0.357,74.30%,40.90%,13.30%,3.32,2.37,2.41,0.7,3137
Stephen Strasburg,Nationals,1,0,0,2,2,12.2,12.08,2.13,0,0.313,69.20%,51.60%,0.00%,2.84,1.03,2.44,0.7,10131
Marcus Stroman,Blue Jays,0,2,0,3,3,18.2,8.68,2.89,0,0.34,78.30%,53.10%,0.00%,2.41,2.04,3.28,0.7,13431
Jordan Zimmermann,Tigers,0,0,0,2,2,13.2,6.59,0.66,0,0.184,87.50%,36.80%,0.00%,0.66,1.76,4.5,0.7,4505
Jose Berrios,Twins,1,1,0,3,3,20.2,9.15,1.74,0.87,0.184,82.00%,40.00%,9.10%,2.18,2.81,3.45,0.6,14168
Matt Shoemaker,Blue Jays,2,0,0,2,2,14,9.64,1.93,0,0.138,100.00%,51.70%,0.00%,0,1.72,2.99,0.6,4776
Masahiro Tanaka,Yankees,1,0,0,3,3,18.1,7.36,0.98,0.49,0.302,85.20%,57.40%,6.70%,1.47,2.41,3.16,0.6,15764
Luis Castillo,Reds,0,1,0,2,2,12.2,12.08,4.97,0,0.125,81.80%,59.10%,0.00%,1.42,2.22,3.2,0.5,15689
Joey Lucchesi,Padres,2,0,0,2,2,10.1,11.32,2.61,0,0.28,100.00%,48.00%,0.00%,0,1.36,2.22,0.5,19320
Zach Eflin,Phillies,2,0,0,2,2,12,10.5,0.75,0.75,0.276,100.00%,34.50%,8.30%,0.75,2.01,2.71,0.5,13774
Adam Wainwright,Cardinals,1,0,0,2,2,10,10.8,3.6,0,0.36,61.50%,41.70%,0.00%,4.5,1.81,3.41,0.5,2233
Gerrit Cole,Astros,0,2,0,2,2,12,14.25,2.25,0.75,0.296,47.20%,35.70%,9.10%,3,1.67,2.23,0.5,13125
Trevor Bauer,Indians,1,0,0,2,2,14,10.93,4.5,0,0.04,90.00%,48.00%,0.00%,0.64,2.51,3.91,0.4,12703
Trevor Williams,Pirates,1,0,0,2,2,12,6.75,0.75,0.75,0.257,72.90%,44.40%,7.70%,2.25,2.84,3.69,0.4,16977
Brad Keller,Royals,1,1,0,3,3,19,6.16,3.79,0,0.222,71.40%,50.00%,0.00%,2.84,3.06,4.56,0.4,15734
