Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR
Dodgers,392,1018,46,144,140,6,11.70%,20.60%,0.218,0.288,0.26,0.353,0.477,0.351,120,1.8,28,13.6,7.3
Astros,323,920,41,120,119,11,9.80%,18.80%,0.214,0.31,0.282,0.356,0.496,0.36,131,-3.9,31.3,0.3,6.3
Cardinals,366,938,38,137,126,15,9.70%,22.20%,0.203,0.318,0.271,0.349,0.474,0.348,116,4,23.3,5.8,5.8
Rays,372,978,33,120,117,19,9.70%,25.70%,0.19,0.329,0.262,0.34,0.452,0.337,114,2.7,19.7,4.3,5.8
Mariners,383,1077,56,163,161,23,9.90%,24.40%,0.24,0.293,0.257,0.337,0.497,0.351,125,5.6,39.5,-24.1,5.2
Diamondbacks,353,989,38,136,129,12,7.20%,22.40%,0.202,0.322,0.273,0.332,0.475,0.34,109,-2.5,8.5,10.1,5
Braves,339,909,30,123,117,10,11.80%,23.00%,0.186,0.323,0.265,0.358,0.451,0.345,112,2.6,15.5,5.2,4.9
Athletics,400,1016,41,133,127,9,8.40%,18.00%,0.182,0.272,0.253,0.323,0.435,0.324,104,-1.8,3.6,3.9,4.2
Twins,312,836,37,121,114,5,7.80%,19.30%,0.227,0.293,0.267,0.332,0.493,0.347,116,-4.9,11.2,2,4.2
Cubs,323,861,30,124,119,9,11.30%,21.70%,0.182,0.306,0.258,0.354,0.44,0.341,111,2,13.5,0.8,4.1
Phillies,363,973,31,123,121,5,11.20%,22.60%,0.176,0.301,0.25,0.34,0.426,0.326,101,3.1,4.5,4,3.9
Mets,370,961,31,128,122,12,9.80%,23.60%,0.165,0.319,0.259,0.344,0.424,0.33,109,1.7,12.1,-3.9,3.9
Brewers,381,967,51,123,123,10,9.50%,25.70%,0.219,0.28,0.243,0.323,0.462,0.331,103,0.7,3.8,4.1,3.8
Nationals,337,892,33,125,121,16,9.30%,25.60%,0.191,0.326,0.262,0.339,0.454,0.338,107,0.3,7.7,-0.5,3.5
Yankees,335,928,41,126,120,11,10.30%,23.30%,0.199,0.288,0.251,0.334,0.45,0.334,107,1,9.5,-6.8,3.5
Rangers,314,860,32,127,120,20,9.90%,25.30%,0.205,0.312,0.252,0.335,0.457,0.338,104,0.5,4.6,-2.3,3.2
Royals,357,953,33,114,109,28,9.20%,22.80%,0.192,0.283,0.242,0.317,0.434,0.317,96,-0.1,-4.5,1.3,3
Angels,378,942,31,109,106,8,9.60%,16.10%,0.164,0.251,0.235,0.317,0.399,0.306,94,1,-5.7,-0.9,2.6
Orioles,381,984,31,118,107,13,7.70%,21.70%,0.163,0.287,0.244,0.309,0.407,0.306,90,0.3,-12.4,-1.7,2
White Sox,332,878,29,110,105,20,8.40%,24.70%,0.161,0.307,0.249,0.318,0.41,0.314,97,1.5,-1.8,-14.6,1.4
Padres,358,879,35,84,84,11,7.40%,26.20%,0.184,0.264,0.222,0.285,0.406,0.294,82,-6.8,-27.3,12.7,1.3
Pirates,326,819,18,75,73,11,8.50%,22.70%,0.141,0.285,0.231,0.304,0.372,0.291,79,3.1,-19.1,4.7,1.1
Blue Jays,354,914,26,101,96,7,7.80%,27.10%,0.15,0.29,0.227,0.295,0.377,0.29,79,-2.2,-25.9,1.5,0.7
Red Sox,367,947,27,110,101,14,9.70%,20.80%,0.15,0.276,0.236,0.317,0.386,0.303,84,-2.2,-21.7,-4.7,0.6
Tigers,324,857,13,76,71,11,8.40%,26.40%,0.133,0.303,0.228,0.302,0.362,0.288,78,-1,-24.7,0.2,0.5
Giants,358,901,21,78,77,8,6.50%,23.60%,0.137,0.258,0.212,0.272,0.349,0.267,64,-2.3,-43.7,18.4,0.3
Indians,345,844,17,90,80,14,10.80%,26.30%,0.113,0.279,0.213,0.306,0.326,0.278,67,3.3,-31.1,-1.2,-0.3
Rockies,373,964,25,97,93,11,7.50%,25.40%,0.159,0.293,0.234,0.295,0.392,0.293,63,-1.7,-47.3,8.4,-0.8
Reds,366,815,31,80,79,4,8.00%,25.40%,0.172,0.231,0.199,0.27,0.372,0.275,65,-2.7,-39.7,4.7,-0.9
Marlins,352,862,20,65,62,10,7.00%,26.30%,0.113,0.273,0.215,0.276,0.328,0.265,65,-2.1,-40.6,3.4,-1
